x,y
1071.0,415.0
1088.0,105.0
841.0,102.0
566.0,103.0
343.0,106.0
135.0,107.0
1306.0,111.0
1529.0,107.0
1797.0,95.0
1321.0,395.0
1567.0,406.0
1811.0,398.0
1774.0,667.0
1537.0,681.0
1318.0,692.0
1082.0,685.0
833.0,708.0
590.0,710.0
353.0,704.0
129.0,697.0
161.0,948.0
363.0,940.0
601.0,953.0
834.0,958.0
1072.0,948.0
1292.0,943.0
1533.0,936.0
1765.0,943.0
