id,x,y,w,h
0,129.0,206.0,140.0,200.0
1,346.0,192.0,140.0,200.0
2,560.0,196.0,140.0,200.0
3,833.0,186.0,140.0,200.0
4,1072.0,183.0,140.0,200.0
5,1300.0,200.0,140.0,200.0
6,1525.0,193.0,140.0,200.0
7,1796.0,188.0,140.0,200.0
8,116.0,474.0,140.0,200.0
9,343.0,472.0,140.0,200.0
10,596.0,464.0,140.0,200.0
11,833.0,473.0,140.0,200.0
12,1063.0,471.0,140.0,200.0
13,1326.0,451.0,140.0,200.0
14,1568.0,462.0,140.0,200.0
15,1821.0,463.0,140.0,200.0
16,148.0,711.0,140.0,200.0
17,364.0,717.0,140.0,200.0
18,593.0,722.0,140.0,200.0
19,842.0,714.0,140.0,200.0
20,1076.0,697.0,140.0,200.0
21,1312.0,707.0,140.0,200.0
22,1544.0,699.0,140.0,200.0
23,1787.0,691.0,140.0,200.0
0,129.0,206.0,140.0,200.0
1,346.0,192.0,140.0,200.0
2,560.0,196.0,140.0,200.0
3,833.0,186.0,140.0,200.0
4,1072.0,183.0,140.0,200.0
5,1300.0,200.0,140.0,200.0
6,1525.0,193.0,140.0,200.0
7,1796.0,188.0,140.0,200.0
8,116.0,474.0,140.0,200.0
9,343.0,472.0,140.0,200.0
10,596.0,464.0,140.0,200.0
11,833.0,473.0,140.0,200.0
12,1063.0,471.0,140.0,200.0
13,1326.0,451.0,140.0,200.0
14,1568.0,462.0,140.0,200.0
15,1821.0,463.0,140.0,200.0
16,148.0,711.0,140.0,200.0
17,364.0,717.0,140.0,200.0
18,593.0,722.0,140.0,200.0
19,842.0,714.0,140.0,200.0
20,1076.0,697.0,140.0,200.0
21,1312.0,707.0,140.0,200.0
22,1544.0,699.0,140.0,200.0
23,1787.0,691.0,140.0,200.0
0,129.0,206.0,140.0,200.0
1,346.0,192.0,140.0,200.0
2,560.0,196.0,140.0,200.0
3,833.0,186.0,140.0,200.0
4,1072.0,183.0,140.0,200.0
5,1300.0,200.0,140.0,200.0
6,1525.0,193.0,140.0,200.0
7,1796.0,188.0,140.0,200.0
8,116.0,474.0,140.0,200.0
9,343.0,472.0,140.0,200.0
10,596.0,464.0,140.0,200.0
11,833.0,473.0,140.0,200.0
12,1063.0,471.0,140.0,200.0
13,1326.0,451.0,140.0,200.0
14,1568.0,462.0,140.0,200.0
15,1821.0,463.0,140.0,200.0
16,148.0,711.0,140.0,200.0
17,364.0,717.0,140.0,200.0
18,593.0,722.0,140.0,200.0
19,842.0,714.0,140.0,200.0
20,1076.0,697.0,140.0,200.0
21,1312.0,707.0,140.0,200.0
22,1544.0,699.0,140.0,200.0
23,1787.0,691.0,140.0,200.0
0,129.0,206.0,140.0,200.0
1,346.0,192.0,140.0,200.0
2,560.0,196.0,140.0,200.0
3,833.0,186.0,140.0,200.0
4,1072.0,183.0,140.0,200.0
5,1300.0,200.0,140.0,200.0
6,1525.0,193.0,140.0,200.0
7,1796.0,188.0,140.0,200.0
8,116.0,474.0,140.0,200.0
9,343.0,472.0,140.0,200.0
10,596.0,464.0,140.0,200.0
11,833.0,473.0,140.0,200.0
12,1063.0,471.0,140.0,200.0
13,1326.0,451.0,140.0,200.0
14,1568.0,462.0,140.0,200.0
15,1821.0,463.0,140.0,200.0
16,148.0,711.0,140.0,200.0
17,364.0,717.0,140.0,200.0
18,593.0,722.0,140.0,200.0
19,842.0,714.0,140.0,200.0
20,1076.0,697.0,140.0,200.0
21,1312.0,707.0,140.0,200.0
22,1544.0,699.0,140.0,200.0
23,1787.0,691.0,140.0,200.0
0,129.0,206.0,140.0,200.0
1,346.0,192.0,140.0,200.0
2,560.0,196.0,140.0,200.0
3,833.0,186.0,140.0,200.0
4,1072.0,183.0,140.0,200.0
5,1300.0,200.0,140.0,200.0
6,1525.0,193.0,140.0,200.0
7,1796.0,188.0,140.0,200.0
8,116.0,474.0,140.0,200.0
9,343.0,472.0,140.0,200.0
10,596.0,464.0,140.0,200.0
11,833.0,473.0,140.0,200.0
12,1063.0,471.0,140.0,200.0
13,1326.0,451.0,140.0,200.0
14,1568.0,462.0,140.0,200.0
15,1821.0,463.0,140.0,200.0
16,148.0,711.0,140.0,200.0
17,364.0,717.0,140.0,200.0
18,593.0,722.0,140.0,200.0
19,842.0,714.0,140.0,200.0
20,1076.0,697.0,140.0,200.0
21,1312.0,707.0,140.0,200.0
22,1544.0,699.0,140.0,200.0
23,1787.0,691.0,140.0,200.0
0,129.0,206.0,140.0,200.0
1,346.0,192.0,140.0,200.0
2,560.0,196.0,140.0,200.0
3,833.0,186.0,140.0,200.0
4,1072.0,183.0,140.0,200.0
5,1300.0,200.0,140.0,200.0
6,1525.0,193.0,140.0,200.0
7,1796.0,188.0,140.0,200.0
8,116.0,474.0,140.0,200.0
9,343.0,472.0,140.0,200.0
