x,y,id
743.0,559.0,6
905.0,536.0,5
1060.0,504.0,5
1201.0,489.0,4
1351.0,471.0,3
1348.0,250.0,0
1198.0,263.0,2
1041.0,276.0,5
870.0,306.0,5
727.0,326.0,1
553.0,337.0,2
567.0,579.0,4
405.0,595.0,3
243.0,610.0,0
387.0,354.0,6
217.0,372.0,5
377.0,105.0,3
240.0,114.0,3
534.0,86.0,1
713.0,71.0,3
871.0,58.0,3
1005.0,50.0,6
1144.0,38.0,0
1314.0,20.0,3
262.0,833.0,3
416.0,799.0,2
594.0,787.0,1
746.0,769.0,2
917.0,744.0,4
1065.0,731.0,5
1226.0,710.0,3
1377.0,688.0,3
